Subject	Predicate	Object
Customer1025	refers_family_or_friend	Brand1
Customer853	follows	Brand1
Customer291	participate_in_polls	Brand1
Customer1672	follows	Brand1
Customer1412	follows	Brand1
Customer1102	follows	Brand1
Customer863	follows	Brand1
Customer330	follows	Brand1
Customer410	attends_event	Brand1
Customer187	uses_brand_hashtag	Brand1
Customer403	follows	Brand1
Customer41	shares	Brand1
Customer1378	follows	Brand1
Customer246	uses_brand_hashtag	Brand1
Customer32	attends_event	Brand1
Customer1084	follows	Brand1
Customer517	attends_event	Brand1
Customer295	follows	Brand1
Customer1549	follows	Brand1
Customer87	follows	Brand1
Customer381	follows	Brand1
Customer1967	follows	Brand1
Customer419	follows	Brand1
Customer1176	follows	Brand1
Customer290	follows	Brand1
Customer1431	follows	Brand1
Customer289	refers_family_or_friend	Brand1
Customer900	follows	Brand1
Customer1208	follows	Brand1
Customer1344	follows	Brand1
Customer385	follows	Brand1
Customer1218	follows	Brand1
Customer97	follows	Brand1
Customer1994	refers_family_or_friend	Brand1
Customer1055	follows	Brand1
Customer1002	follows	Brand1
Customer1224	follows	Brand1
Customer1080	follows	Brand1
Customer1781	follows	Brand1
Customer231	uses_brand_hashtag	Brand1
Customer1475	refers_family_or_friend	Brand1
Customer334	attends_event	Brand1
Customer513	attends_event	Brand1
Customer30	attends_event	Brand1
Customer1082	refers_family_or_friend	Brand1
Customer1122	follows	Brand1
Customer1112	refers_family_or_friend	Brand1
Customer1981	follows	Brand1
Customer1213	follows	Brand1
Customer60	uses_brand_hashtag	Brand1
Customer102	follows	Brand1
Customer49	mentioned	Brand1
Customer485	follows	Brand1
Customer1069	refers_family_or_friend	Brand1
Customer934	refers_family_or_friend	Brand1
Customer1404	follows	Brand1
Customer1602	follows	Brand1
Customer1116	follows	Brand1
Advocate784	follows	Brand1
Customer2005	follows	Brand1
Customer439	follows	Brand1
Customer176	uses_brand_hashtag	Brand1
Customer446	follows	Brand1
Advocate723	follows	Brand1
Customer281	attends_event	Brand1
Customer866	refers_family_or_friend	Brand1
Customer1124	follows	Brand1
Customer1817	participate_in_polls	Brand1
Advocate711	recommends	Brand1
Customer225	uses_brand_hashtag	Brand1
Customer218	uses_brand_hashtag	Brand1
Customer1769	follows	Brand1
Customer1703	follows	Brand1
Customer432	follows	Brand1
Customer1552	follows	Brand1
Advocate772	follows	Brand1
Customer946	follows	Brand1
Customer1222	follows	Brand1
Customer1371	follows	Brand1
Advocate760	attends_event	Brand1
Customer345	follows	Brand1
Customer1353	follows	Brand1
Customer1230	follows	Brand1
Customer255	uses_brand_hashtag	Brand1
Customer117	follows	Brand1
Advocate705	follows	Brand1
Customer340	follows	Brand1
Customer28	attends_event	Brand1
Advocate734	follows	Brand1
Customer836	follows	Brand1
Customer1403	follows	Brand1
Customer120	follows	Brand1
Customer1607	follows	Brand1
Customer351	attends_event	Brand1
Customer24	mentioned	Brand1
Customer1961	follows	Brand1
Advocate771	attends_event	Brand1
Customer1162	follows	Brand1
Customer1910	follows	Brand1
Customer1862	follows	Brand1
Customer1563	refers_family_or_friend	Brand1
Customer1000	follows	Brand1
Customer1318	refers_family_or_friend	Brand1
Customer68	mentioned	Brand1
Customer95	attends_event	Brand1
Customer1996	follows	Brand1
Customer620	follows	Brand1
Customer145	uses_brand_hashtag	Brand1
Customer372	refers_family_or_friend	Brand1
Customer119	attends_event	Brand1
Customer182	uses_brand_hashtag	Brand1
Customer1339	follows	Brand1
Customer399	follows	Brand1
Customer1374	follows	Brand1
Advocate761	follows	Brand1
Customer1913	follows	Brand1
Customer1292	follows	Brand1
Advocate74	recommends	Brand1
Advocate718	follows	Brand1
Customer807	follows	Brand1
Customer417	attends_event	Brand1
Customer152	uses_brand_hashtag	Brand1
Customer915	follows	Brand1
Customer161	uses_brand_hashtag	Brand1
Customer22	uses_brand_hashtag	Brand1
Customer1236	follows	Brand1
Customer937	follows	Brand1
Customer1776	follows	Brand1
Customer1174	follows	Brand1
Customer1832	follows	Brand1
Customer1750	follows	Brand1
Customer1777	follows	Brand1
Customer287	attends_event	Brand1
Customer1362	follows	Brand1
Customer455	follows	Brand1
Customer335	follows	Brand1
Customer1060	follows	Brand1
Customer1611	follows	Brand1
Customer427	attends_event	Brand1
Customer9	follows	Brand1
Customer1373	follows	Brand1
Customer948	follows	Brand1
Customer293	follows	Brand1
Customer1656	follows	Brand1
Customer392	follows	Brand1
Customer1926	follows	Brand1
Customer177	uses_brand_hashtag	Brand1
Advocate798	refers_family_or_friend	Brand1
Customer1033	follows	Brand1
Customer1219	follows	Brand1
Customer428	follows	Brand1
Customer190	uses_brand_hashtag	Brand1
Advocate756	recommends	Brand1
Customer414	follows	Brand1
Customer62	uses_brand_hashtag	Brand1
Customer694	follows	Brand1
Customer931	follows	Brand1
Customer419	recommends	Brand1
Customer301	follows	Brand1
Customer1273	follows	Brand1
Advocate745	follows	Brand1
Customer1054	follows	Brand1
Customer1639	refers_family_or_friend	Brand1
Customer812	follows	Brand1
Customer279	attends_event	Brand1
Customer1329	follows	Brand1
Customer1802	follows	Brand1
Customer1264	follows	Brand1
Customer33	recommends	Brand1
Customer81	follows	Brand1
Customer1117	follows	Brand1
Customer889	follows	Brand1
Customer1260	refers_family_or_friend	Brand1
Advocate713	follows	Brand1
Customer228	uses_brand_hashtag	Brand1
Customer1456	follows	Brand1
Customer887	follows	Brand1
Advocate786	follows	Brand1
Customer1509	follows	Brand1
Customer301	attends_event	Brand1
Customer837	follows	Brand1
Customer1588	follows	Brand1
Customer51	uses_brand_hashtag	Brand1
Customer981	follows	Brand1
Customer1393	follows	Brand1
Customer1671	follows	Brand1
Customer380	follows	Brand1
Customer1683	follows	Brand1
Customer348	follows	Brand1
Customer1158	follows	Brand1
Advocate779	follows	Brand1
Customer56	mentioned	Brand1
Advocate71	follows	Brand1
Advocate715	follows	Brand1
Customer101	attends_event	Brand1
Customer1946	follows	Brand1
Advocate76	follows	Brand1
Customer1295	follows	Brand1
Customer1784	follows	Brand1
Customer450	follows	Brand1
Customer1280	follows	Brand1
Customer318	follows	Brand1
Customer1723	follows	Brand1
Customer1939	follows	Brand1
Customer895	follows	Brand1
Customer675	recommends	Brand1
Customer1072	follows	Brand1
Advocate77	follows	Brand1
Customer1180	follows	Brand1
Customer1835	follows	Brand1
Customer286	attends_event	Brand1
Customer1416	follows	Brand1
Advocate752	follows	Brand1
Customer1061	follows	Brand1
Customer404	attends_event	Brand1
Customer1109	follows	Brand1
Customer316	follows	Brand1
Customer1831	follows	Brand1
Customer313	recommends	Brand1
Customer63	mentioned	Brand1
Customer340	attends_event	Brand1
Customer1328	refers_family_or_friend	Brand1
Customer1704	follows	Brand1
Customer219	uses_brand_hashtag	Brand1
Customer888	follows	Brand1
Customer966	follows	Brand1
Customer1841	follows	Brand1
Customer42	uses_brand_hashtag	Brand1
Customer645	mentioned	Brand1
Customer1756	refers_family_or_friend	Brand1
Customer223	uses_brand_hashtag	Brand1
Customer347	follows	Brand1
Customer1896	follows	Brand1
Customer1599	follows	Brand1
Customer365	follows	Brand1
Customer483	follows	Brand1
Customer827	refers_family_or_friend	Brand1
Customer1661	follows	Brand1
Customer108	follows	Brand1
Customer1154	follows	Brand1
Customer162	uses_brand_hashtag	Brand1
Customer1077	follows	Brand1
Customer1849	follows	Brand1
Customer1113	follows	Brand1
Customer212	uses_brand_hashtag	Brand1
Advocate760	follows	Brand1
Customer269	uses_brand_hashtag	Brand1
Customer988	follows	Brand1
Customer1820	follows	Brand1
Customer434	follows	Brand1
Customer826	follows	Brand1
Customer1952	refers_family_or_friend	Brand1
Customer574	mentioned	Brand1
Customer1643	refers_family_or_friend	Brand1
Customer442	follows	Brand1
Customer98	attends_event	Brand1
Advocate769	follows	Brand1
Customer1270	follows	Brand1
Customer698	follows	Brand1
Customer1535	follows	Brand1
Customer1020	follows	Brand1
Customer61	uses_brand_hashtag	Brand1
Advocate72	follows	Brand1
Customer1705	follows	Brand1
Customer451	follows	Brand1
Advocate797	follows	Brand1
Customer292	follows	Brand1
Customer1753	follows	Brand1
Customer35	refers_family_or_friend	Brand1
Advocate731	follows	Brand1
Customer515	follows	Brand1
Customer1047	follows	Brand1
Advocate709	attends_event	Brand1
Customer1228	follows	Brand1
Customer322	follows	Brand1
Customer426	follows	Brand1
Customer1786	follows	Brand1
Customer1502	follows	Brand1
Advocate7	participate_in_polls	Brand1
Customer26	attends_event	Brand1
Customer1972	refers_family_or_friend	Brand1
Customer571	follows	Brand1
Customer363	follows	Brand1
Customer55	shares	Brand1
Customer1004	follows	Brand1
Customer829	refers_family_or_friend	Brand1
Customer1197	refers_family_or_friend	Brand1
Customer312	follows	Brand1
Customer1451	follows	Brand1
Customer1620	follows	Brand1
Customer13	participate_in_polls	Brand1
Customer1942	follows	Brand1
Customer1349	follows	Brand1
Customer949	follows	Brand1
Customer15	uses_brand_hashtag	Brand1
Customer1290	follows	Brand1
Advocate781	recommends	Brand1
Advocate765	recommends	Brand1
Customer1462	follows	Brand1
Customer1806	follows	Brand1
Customer1901	follows	Brand1
Customer375	follows	Brand1
Customer1540	follows	Brand1
Customer453	follows	Brand1
Customer1931	follows	Brand1
Customer235	uses_brand_hashtag	Brand1
Customer308	attends_event	Brand1
Customer1917	follows	Brand1
Customer358	follows	Brand1
Customer20	shares	Brand1
Customer1151	follows	Brand1
Customer106	recommends	Brand1
Customer370	follows	Brand1
Customer1043	follows	Brand1
Customer358	recommends	Brand1
Customer1474	follows	Brand1
Customer905	follows	Brand1
Customer1096	refers_family_or_friend	Brand1
Customer1645	attends_event	Brand1
Customer1035	follows	Brand1
Customer2	follows	Brand1
Customer99	recommends	Brand1
Advocate794	follows	Brand1
Customer1745	follows	Brand1
Customer1822	refers_family_or_friend	Brand1
Customer1805	follows	Brand1
Customer374	recommends	Brand1
Customer298	participate_in_polls	Brand1
Customer1482	follows	Brand1
Customer1853	follows	Brand1
Customer1086	follows	Brand1
Customer28	follows	Brand1
Customer1440	follows	Brand1
Customer1284	follows	Brand1
Customer103	follows	Brand1
Customer1075	follows	Brand1
Customer386	follows	Brand1
Customer1632	follows	Brand1
Customer1976	follows	Brand1
Customer961	refers_family_or_friend	Brand1
Customer263	uses_brand_hashtag	Brand1
Customer345	refers_family_or_friend	Brand1
Customer1455	follows	Brand1
Customer67	shares	Brand1
Customer1269	attends_event	Brand1
Customer1319	follows	Brand1
Advocate726	follows	Brand1
Customer1194	refers_family_or_friend	Brand1
Customer1367	follows	Brand1
Customer383	follows	Brand1
Customer1430	follows	Brand1
Customer31	follows	Brand1
Customer39	shares	Brand1
Customer1352	follows	Brand1
Customer285	follows	Brand1
Customer333	attends_event	Brand1
Customer1346	follows	Brand1
Customer1670	follows	Brand1
Customer29	follows	Brand1
Customer1863	follows	Brand1
Customer1388	follows	Brand1
Customer374	follows	Brand1
Customer80	participate_in_polls	Brand1
Customer330	recommends	Brand1
Customer30	follows	Brand1
Customer2002	follows	Brand1
Customer1247	follows	Brand1
Customer296	follows	Brand1
Customer1581	follows	Brand1
Customer118	follows	Brand1
Customer69	mentioned	Brand1
Customer256	uses_brand_hashtag	Brand1
Customer93	follows	Brand1
Customer443	follows	Brand1
Customer91	follows	Brand1
Customer1368	follows	Brand1
Customer852	refers_family_or_friend	Brand1
Customer16	uses_brand_hashtag	Brand1
Customer1747	follows	Brand1
Customer1394	follows	Brand1
Customer52	mentioned	Brand1
Customer451	recommends	Brand1
Customer1761	follows	Brand1
Customer1834	refers_family_or_friend	Brand1
Customer1693	follows	Brand1
Customer96	follows	Brand1
Customer1797	follows	Brand1
Customer867	follows	Brand1
Advocate733	follows	Brand1
Customer1101	follows	Brand1
Customer1426	follows	Brand1
Customer1240	follows	Brand1
Customer1647	follows	Brand1
Customer298	follows	Brand1
Customer86	follows	Brand1
Customer800	follows	Brand1
Customer1381	follows	Brand1
Customer373	follows	Brand1
Customer1571	follows	Brand1
Customer920	follows	Brand1
Customer415	attends_event	Brand1
Customer343	follows	Brand1
Customer447	follows	Brand1
Customer422	follows	Brand1
Customer1059	follows	Brand1
Customer1138	follows	Brand1
Customer85	follows	Brand1
Customer1848	refers_family_or_friend	Brand1
Customer1115	follows	Brand1
Customer83	follows	Brand1
Customer1794	follows	Brand1
Customer1427	follows	Brand1
Customer371	follows	Brand1
Customer321	follows	Brand1
Customer1147	follows	Brand1
Customer1846	follows	Brand1
Customer1573	follows	Brand1
Customer1177	follows	Brand1
Customer1401	refers_family_or_friend	Brand1
Customer870	refers_family_or_friend	Brand1
Customer1340	follows	Brand1
Customer1306	refers_family_or_friend	Brand1
Customer1091	follows	Brand1
Customer1164	follows	Brand1
Customer43	uses_brand_hashtag	Brand1
Customer1616	refers_family_or_friend	Brand1
Customer141	uses_brand_hashtag	Brand1
Customer1825	follows	Brand1
Customer1876	follows	Brand1
Customer1021	follows	Brand1
Customer438	follows	Brand1
Customer1899	follows	Brand1
Customer153	uses_brand_hashtag	Brand1
Customer1762	follows	Brand1
Customer84	participate_in_polls	Brand1
Customer1315	follows	Brand1
Customer1076	follows	Brand1
Customer320	attends_event	Brand1
Customer259	uses_brand_hashtag	Brand1
Customer1282	follows	Brand1
Customer1867	follows	Brand1
Advocate783	follows	Brand1
Customer1237	follows	Brand1
Customer331	follows	Brand1
Customer1320	follows	Brand1
Customer1126	follows	Brand1
Customer1348	follows	Brand1
Customer1736	follows	Brand1
Customer1522	follows	Brand1
Customer1668	follows	Brand1
Customer1083	follows	Brand1
Customer940	follows	Brand1
Customer175	uses_brand_hashtag	Brand1
Customer242	mentioned	Brand1
Customer206	uses_brand_hashtag	Brand1
Customer346	follows	Brand1
Customer1577	follows	Brand1
Customer1417	follows	Brand1
Customer691	follows	Brand1
Customer1904	follows	Brand1
Customer850	refers_family_or_friend	Brand1
Customer1145	follows	Brand1
Customer1032	follows	Brand1
Advocate774	follows	Brand1
Advocate763	follows	Brand1
Customer258	uses_brand_hashtag	Brand1
Customer1397	follows	Brand1
Customer1722	refers_family_or_friend	Brand1
Customer320	follows	Brand1
Advocate768	follows	Brand1
Customer1424	follows	Brand1
Customer1157	refers_family_or_friend	Brand1
Customer1036	follows	Brand1
Customer1600	refers_family_or_friend	Brand1
Customer1975	follows	Brand1
Customer1675	follows	Brand1
Customer139	uses_brand_hashtag	Brand1
Customer1226	follows	Brand1
Customer370	attends_event	Brand1
Customer388	follows	Brand1
Advocate730	follows	Brand1
Customer1743	follows	Brand1
Customer328	attends_event	Brand1
Customer816	follows	Brand1
Customer809	follows	Brand1
Customer893	follows	Brand1
Customer1585	follows	Brand1
Customer1310	follows	Brand1
Customer1466	follows	Brand1
Customer854	refers_family_or_friend	Brand1
Customer1484	follows	Brand1
Customer1324	follows	Brand1
Customer1056	refers_family_or_friend	Brand1
Customer359	attends_event	Brand1
Customer286	follows	Brand1
Customer855	follows	Brand1
Advocate749	follows	Brand1
Customer1253	follows	Brand1
Customer317	follows	Brand1
Customer296	participate_in_polls	Brand1
Customer998	follows	Brand1
Customer185	attends_event	Brand1
Customer294	participate_in_polls	Brand1
Customer400	follows	Brand1
Customer965	refers_family_or_friend	Brand1
Customer203	uses_brand_hashtag	Brand1
Customer1051	follows	Brand1
Customer1123	follows	Brand1
Customer113	attends_event	Brand1
Customer143	shares	Brand1
Customer819	follows	Brand1
Advocate790	follows	Brand1
Customer282	follows	Brand1
Customer180	uses_brand_hashtag	Brand1
Customer1970	follows	Brand1
Customer28	participate_in_polls	Brand1
Customer306	follows	Brand1
Customer20	uses_brand_hashtag	Brand1
Customer112	recommends	Brand1
Customer996	follows	Brand1
Customer1622	follows	Brand1
Customer1334	follows	Brand1
Customer1038	follows	Brand1
Customer17	uses_brand_hashtag	Brand1
Customer423	attends_event	Brand1
